ID,Load,Group,Pre PV Rep 1,Pre PV Rep 2,Post PV Rep 1,Post PV Rep 2,Pre PP Rep 1,Pre PP Rep 2,Post PP Rep 1,Post PP Rep 2,Pre MV Rep 1,Pre MV Rep 2,Post MV Rep 1,Post MV Rep 2,Pre MP Rep 1,Pre MP Rep 2,Post MP Rep 1,Post MP Rep 2
15,65,trad,0.74,0.7,0.7,0.71,791.02,688.16,777.38,804.16,0.53,0.53,0.43,0.4,453.61,451.52,404.16,375.42
15,75,trad,0.63,0.62,0.6,0.6,724.05,721.43,758.51,737.16,0.41,0.42,0.34,0.36,403.86,412.06,371.64,389.33
15,85,trad,0.57,0.54,0.56,0.61,736.38,692.96,801.47,832.95,0.3,0.25,0.3,0.33,334.23,281.48,361.72,408.71
15,95,trad,0.49,1.09,0.43,,701.11,792.25,635.03,,0.19,0.17,0.14,,241.21,,188.55,
16,45,trad,1.2,1.1,1.21,1.06,690.84,584.52,686.74,578.28,0.79,0.78,0.76,0.71,389.87,381.71,375.33,350.31
16,55,trad,1.02,0.88,0.8,0.91,654.15,557.27,545.9,600.3,0.66,0.59,0.55,0.65,382.76,340.21,344.8,402.56
16,65,trad,0.6,0.59,0.67,0.73,436.94,438.51,506.51,547.73,0.46,0.44,0.48,0.51,327.77,315.6,339.3,362.06
16,75,trad,0.45,0.46,0.5,0.55,363.26,377.12,433.04,485.92,0.37,0.4,0.41,0.43,300.17,317.6,345.55,367.98
16,85,trad,0.36,0.38,0.41,0.39,337.26,355.09,394.2,368.05,0.28,0.28,0.33,0.31,255.28,255.42,307.41,294.11
16,95,trad,0.29,0.33,0.38,0.35,312.89,369.93,417.04,391.84,0.12,0.13,0.21,0.2,125.13,137.04,210.77,228.26
17,45,trad,1.16,1.38,1.42,1.41,709.35,911.27,921.2,878.18,0.75,0.92,0.9,0.89,489.94,125.13,484.48,479.35
17,55,trad,1.05,1,1.09,1.12,762.9,724.35,812.12,825.37,0.72,0.69,0.76,0.73,399.48,463.98,505.94,488.02
17,65,trad,0.82,0.75,0.89,0.88,656.48,600.74,731.67,738.63,0.58,0.55,0.65,0.62,463.98,444.8,508.81,484.95
17,75,trad,0.53,0.5,0.71,0.6,414.17,460.58,655.34,554.26,0.42,0.41,0.53,0.49,317.05,368.7,474.57,433.19
17,85,trad,0.45,0.45,0.46,0.46,501.95,493.5,485.51,500.73,0.34,0.3,0.38,0.37,335.88,303.18,386.6,377.3
17,95,trad,0.35,0.35,0.41,0.39,422.32,403.92,521.78,480.37,0.16,0.14,0.26,0.23,173.71,156.89,296.39,265.65
18,45,trad,1.12,1.12,0.9,0.95,858.13,890.34,716.11,790.38,0.74,0.72,0.6,0.63,495.77,481.26,427.49,447.29
18,55,trad,0.92,0.85,0.75,0.77,826.2,732.3,739.56,734.76,0.61,0.57,0.53,0.51,487.05,459.91,470.59,456.22
18,65,trad,0.72,0.7,0.58,0.53,710.13,678.03,628.12,585.92,0.52,0.5,0.41,0.39,487.18,472.21,431.8,413.56
18,75,trad,0.5,0.52,0.42,0.42,566.86,584.78,528.56,556.03,0.39,0.41,0.31,0.31,420.53,446.48,377.16,371.02
18,85,trad,0.32,0.39,0.34,0.29,419.03,496.27,495.52,411.3,0.28,0.29,0.2,0.2,336.66,357.88,269.93,278.14
18,95,trad,0.31,0.32,0.33,,453.68,450.85,525.72,,0.19,0.19,0.14,,261.2,263.22,207.49,
19,45,trad,1.07,1.11,1.15,1.09,453.33,484.43,532.95,502.3,0.73,0.73,0.76,0.73,259.14,260.25,304.26,290.89
19,55,trad,0.95,0.89,1.04,0.98,483.54,443.18,579.53,544.08,0.68,0.62,0.69,0.67,303.46,277.24,352.08,343.68
19,65,trad,0.72,0.58,0.83,0.81,409.21,318.16,530.18,578.69,0.52,0.46,0.55,0.57,279.64,248.47,318.58,327.72
19,75,trad,0.58,0.58,0.6,0.7,379.28,375,441.18,513.26,0.42,0.4,0.51,0.46,254.91,239.81,339.42,306.38
19,85,trad,0.36,0.45,0.38,0.42,270.91,325.62,325.16,336.34,0.27,0.35,0.33,0.27,186.44,243.09,253.7,210.57
19,95,trad,0.33,0.31,0.37,0.45,263.9,251.62,363.57,401.83,0.23,0.24,0.25,0.23,176.36,179.41,218.38,199.22
20,45,trad,0.99,1.19,1.08,1.06,302.15,384.34,406.7,383.79,0.69,0.83,0.73,0.74,200.53,239.57,232.28,231.88
20,55,trad,0.93,1.02,0.83,0.71,350.26,395.19,370,297.64,0.7,0.73,0.57,0.52,249.56,261.36,228.59,210.51
20,65,trad,0.76,0.71,0.71,0.59,336.86,311.64,356.93,282.48,0.57,0.54,0.5,0.48,240.71,227.23,235.11,224.26
20,75,trad,0.65,0.59,0.48,0.48,289.61,300.66,267.86,260.39,0.45,0.43,0.36,0.36,189.66,213.02,190.98,192.99
20,85,trad,0.37,0.38,0.44,0.38,213.29,214.97,272.12,235.79,0.3,0.25,0.29,0.29,167.3,141.81,171.36,174.88
20,95,trad,0.3,0.24,0.33,0.23,190.78,147.91,222.7,158.07,0.19,0.19,0.18,0.14,116.66,117.1,121.54,90.74
21,45,trad,1.03,0.93,1.2,1.09,285.65,260.47,370.02,345.33,0.68,0.57,0.83,0.78,167.13,138.93,227.28,209.06
21,55,trad,0.9,0.83,0.91,0.88,299.58,286.83,357.16,348.85,0.62,0.55,0.64,0.62,193.57,171.44,227,221.16
21,65,trad,0.74,0.77,0.77,0.77,280.23,286.42,334.01,343.75,0.52,0.56,0.58,0.54,200.18,185.39,233.47,214.7
21,75,trad,0.62,0.65,0.53,0.58,276.12,288.56,226.21,286.37,0.43,0.43,0.39,0.45,179.47,183.18,156.14,212.52
21,85,trad,0.55,0.44,0.37,0.44,270.7,207.76,205.54,245.93,0.38,0.33,0.28,0.3,155.56,176.31,148.93,159.09
21,95,trad,0.39,,0.38,0.36,222.33,,233.38,220.81,0.19,,0.17,0.16,104,,98.53,91.05
22,45,trad,1.16,1.21,1.08,1.18,558.89,621.47,630.35,738.43,0.73,0.76,0.73,0.76,309.31,322.19,373.16,386.87
22,55,trad,1.08,1.1,1.02,0.99,642.2,670.39,687.59,652.32,0.71,0.69,0.69,0.67,378.11,370.92,397.96,387.37
22,65,trad,0.94,0.71,0.82,0.79,630.09,466.7,588.12,578.21,0.62,0.48,0.57,0.58,389.73,301.96,387.21,383.03
22,75,trad,0.71,0.73,0.59,0.62,539.07,556.21,477.89,514.31,0.49,0.5,0.45,0.46,348.97,353.09,349.34,357.9
22,85,trad,0.36,0.55,0.42,0.41,300.11,459.1,392.54,379.74,0.29,0.35,0.31,0.28,228.44,280.69,271.99,249.15
22,95,trad,0.34,0.32,0.26,0.31,325.93,295.49,278.26,335.48,0.23,0.2,0.11,0.13,205.4,183.27,112.73,134.75
23,45,trad,1.34,1.37,0.49,1.17,987.47,983.86,882.26,831.96,0.92,0.94,0.81,0.81,556.21,578.82,695.68,528.21
23,55,trad,1.11,1.07,1.03,0.95,953.86,909.17,880.39,834.13,0.82,0.77,0.75,0.71,602.39,575.55,527.95,504.42
23,65,trad,0.92,0.89,0.76,0.8,894.36,856.74,762.79,809.99,0.68,0.69,0.6,0.63,591.72,605.23,566.34,540
23,75,trad,0.6,0.64,0.62,0.6,880.39,834.13,752.91,742.48,0.47,0.53,0.53,0.49,467.67,527.6,533.63,564.02
23,85,trad,0.58,0.57,0.51,0.5,762.79,809.99,704.59,706.66,0.39,0.39,0.37,0.32,444.15,437.57,541.78,498.13
23,95,trad,0.51,0.54,0.52,,752.91,742.48,727.07,,0.3,0.21,0.28,,383.82,265.46,424.59,
24,45,trad,0.73,0.76,0.7,0.66,215.37,224.15,214.57,201.5,0.52,0.54,0.49,0.43,128.67,132.68,131.33,115.25
24,55,trad,0.58,0.7,0.55,0.5,208.17,239.07,196.66,178.61,0.4,0.48,0.36,0.38,124.42,149.74,119.53,125.38
24,65,trad,0.61,0.6,0.39,0.37,234.05,229.92,152.1,153.5,0.41,0.43,0.32,0.27,148.31,152.24,120.25,100.87
24,75,trad,0.45,0.43,0.36,0.28,165.98,190.99,189.89,127.54,0.31,0.26,0.27,0.19,111.89,110.82,122.47,86.13
24,85,trad,0.43,0.4,0.26,,209.04,193.89,,136.21,0.25,0.22,0.17,,119.33,102.01,85.54,
24,95,trad,0.27,0.48,0.27,0.48,158.19,193.89,158.19,136.21,0.15,0.22,0.15,0.22,91.96,129.91,91.96,129.91
25,45,trad,0.56,0.79,0.79,0.89,139.53,191.7,193.46,220.57,0.43,0.55,0.4,0.66,95.52,123.85,88.63,152.91
25,55,trad,0.58,0.86,0.74,0.96,136.92,207.97,220.93,298.76,0.47,0.61,0.38,0.66,104.13,135.49,100.37,176.03
25,65,trad,0.83,0.88,0.83,0.69,279.77,297.3,290.86,253.7,0.56,0.6,0.4,0.42,173.25,187.3,123.37,130.57
25,75,trad,0.63,0.77,0.57,0.49,247.08,307.6,217.15,185.33,0.43,0.48,0.33,0.28,153.91,173.31,118.56,98.18
25,85,trad,0.4,0.62,0.6,0.55,170.19,266.16,271.38,251.37,0.32,0.34,0.26,0.25,136.38,153.91,110.7,105.16
25,95,trad,0.41,0.53,0.86,0.58,185.31,264.04,449.15,300.29,0.21,0.25,0.39,0.23,95.08,111.73,184.22,106.05
