ID,Load (%),Peak Power 1 & 2 (W),Mean Power 1 & 2 (W),time,group
5,85,580.66,417.18,mid_1,traditional
5,85,597.68,377.86,mid_2,traditional
5,95,581.38,336.58,mid_1,traditional
5,95,532.83,276.53,mid_2,traditional
5,45,716.11,427.49,post_1,traditional
5,45,790.38,447.29,post_2,traditional
5,55,739.56,470.59,post_1,traditional
5,55,734.76,456.22,post_2,traditional
5,65,628.12,431.8,post_1,traditional
5,65,585.92,413.56,post_2,traditional
5,75,528.56,377.16,post_1,traditional
5,75,556.03,371.02,post_2,traditional
5,85,495.52,269.93,post_1,traditional
5,85,411.3,278.14,post_2,traditional
5,95,525.72,207.49,post_1,traditional
5,95,,,post_2,traditional
10,45,378.83,221.9,pre_1,cluster
10,45,444.84,245.78,pre_2,cluster
10,55,430.32,253.89,pre_1,cluster
10,55,374.7,210.38,pre_2,cluster
10,65,382.59,244.49,pre_1,cluster
10,65,426.04,260.39,pre_2,cluster
10,75,349.59,249.26,pre_1,cluster
10,75,310.39,220.43,pre_2,cluster
10,85,372.21,239.6,pre_1,cluster
10,85,334.45,244.59,pre_2,cluster
10,95,350.61,191.33,pre_1,cluster
10,95,246.49,153.03,pre_2,cluster
10,45,143.59,93.16,mid_1,cluster
10,45,212.33,129.45,mid_2,cluster
10,55,262.77,177.7,mid_1,cluster
10,55,242.76,144.82,mid_2,cluster
10,65,349.55,216.57,mid_1,cluster
10,65,335.02,218.27,mid_2,cluster
10,75,362.15,235.48,mid_1,cluster
10,75,418.12,285.35,mid_2,cluster
10,85,250.61,165.43,mid_1,cluster
10,85,346.13,199.73,mid_2,cluster
10,95,477.04,297.8,mid_1,cluster
10,95,573.04,334.27,mid_2,cluster
10,45,480.67,248.25,post_1,cluster
10,45,482.95,240.39,post_2,cluster
10,55,397.05,231.7,post_1,cluster
10,55,395.53,249.18,post_2,cluster
10,65,319.17,218.09,post_1,cluster
10,65,336.1,232.03,post_2,cluster
10,75,319.88,223.23,post_1,cluster
10,75,389.25,229.44,post_2,cluster
10,85,336.93,200.59,post_1,cluster
10,85,367.39,193.77,post_2,cluster
10,95,272.11,128.74,post_1,cluster
10,95,,,post_2,cluster
11,45,453.33,259.14,pre_1,traditional
11,45,484.43,260.25,pre_2,traditional
11,55,483.54,303.46,pre_1,traditional
11,55,443.18,277.24,pre_2,traditional
11,65,409.21,279.64,pre_1,traditional
11,65,318.16,248.47,pre_2,traditional
11,75,379.28,254.91,pre_1,traditional
11,75,375,239.81,pre_2,traditional
11,85,270.91,186.44,pre_1,traditional
11,85,325.62,243.09,pre_2,traditional
11,95,263.9,176.36,pre_1,traditional
11,95,251.62,179.41,pre_2,traditional
11,45,259.08,161.83,mid_1,traditional
11,45,274.18,158.11,mid_2,traditional
11,55,263.6,198.42,mid_1,traditional
11,55,318.07,185.54,mid_2,traditional
11,65,384.85,227.26,mid_1,traditional
11,65,322.27,210.12,mid_2,traditional
11,75,418.98,283.89,mid_1,traditional
11,75,411.56,273.34,mid_2,traditional
11,85,622.35,317.58,mid_1,traditional
11,85,484.5,301.66,mid_2,traditional
11,95,441.39,319.48,mid_1,traditional
11,95,538.42,347.48,mid_2,traditional
11,45,532.95,304.26,post_1,traditional
11,45,502.3,290.89,post_2,traditional
11,55,579.53,352.08,post_1,traditional
11,55,544.08,343.68,post_2,traditional
11,65,530.18,318.58,post_1,traditional
11,65,578.69,327.72,post_2,traditional
11,75,441.18,306.38,post_1,traditional
11,75,513.26,339.42,post_2,traditional
11,85,325.16,253.7,post_1,traditional
11,85,336.34,210.57,post_2,traditional
11,95,363.57,218.38,post_1,traditional
11,95,401.83,199.22,post_2,traditional
12,45,735.07,441.61,pre_1,cluster
12,45,732.11,433.22,pre_2,cluster
12,55,640.54,462.21,pre_1,cluster
12,55,725,470.9,pre_2,cluster
12,65,691.38,475.68,pre_1,cluster
12,65,603.25,444.45,pre_2,cluster
12,75,632.41,482.27,pre_1,cluster
12,75,553.85,430.65,pre_2,cluster
12,85,525.52,393.03,pre_1,cluster
12,85,515.29,369.42,pre_2,cluster
12,95,415.58,277.42,pre_1,cluster
12,95,431.79,272.71,pre_2,cluster
12,45,677.97,387.76,mid_1,cluster
12,45,657.3,361.52,mid_2,cluster
12,55,658.59,411.74,mid_1,cluster
12,55,597.34,390.73,mid_2,cluster
12,65,630.01,425.77,mid_1,cluster
12,65,591.45,410.01,mid_2,cluster
12,75,533.07,392.58,mid_1,cluster
12,75,526.28,394.28,mid_2,cluster
12,85,451.5,315.07,mid_1,cluster
12,85,356.2,289.32,mid_2,cluster
12,95,319.9,202.68,mid_1,cluster
12,95,308.5,201.01,mid_2,cluster
12,45,672.11,374.49,post_1,cluster
12,45,624.13,373.74,post_2,cluster
12,55,719.18,433.48,post_1,cluster
12,55,666.82,415.59,post_2,cluster
12,65,578.43,409.01,post_1,cluster
12,65,618.19,413.48,post_2,cluster
12,75,534.79,392.19,post_1,cluster
12,75,552.51,406.98,post_2,cluster
12,85,464.16,293.94,post_1,cluster
12,85,475.93,296.44,post_2,cluster
12,95,398.74,253.29,post_1,cluster
12,95,427.62,246.54,post_2,cluster
13,45,444.47,281.23,pre_1,cluster
13,45,572.62,304.3,pre_2,cluster
13,55,423.05,263.8,pre_1,cluster
13,55,473.1,299.74,pre_2,cluster
13,65,522.15,351.71,pre_1,cluster
13,65,548.56,341.77,pre_2,cluster
13,75,549.18,336.53,pre_1,cluster
13,75,495.93,313.84,pre_2,cluster
13,85,417.18,283.21,pre_1,cluster
13,85,459.92,289.15,pre_2,cluster
13,95,304.56,189.21,pre_1,cluster
13,95,300.92,174.2,pre_2,cluster
13,45,308.26,202.33,mid_1,cluster
13,45,325.55,227.22,mid_2,cluster
13,55,381.92,258.32,mid_1,cluster
13,55,470.98,269.09,mid_2,cluster
13,65,609.05,337.94,mid_1,cluster
13,65,548.91,363.01,mid_2,cluster
13,75,455.78,287.36,mid_1,cluster
13,75,355.15,255.15,mid_2,cluster
13,85,435.08,235.55,mid_1,cluster
13,85,610.28,373.37,mid_2,cluster
13,95,806.15,507.95,mid_1,cluster
13,95,1030.04,583.21,mid_2,cluster
13,45,894.38,428.59,post_1,cluster
13,45,777.57,414.13,post_2,cluster
13,55,758.29,458.08,post_1,cluster
13,55,739.66,437.53,post_2,cluster
13,65,625.33,431.98,post_1,cluster
13,65,670.47,430.42,post_2,cluster
13,75,551.3,416.04,post_1,cluster
13,75,602.27,422.61,post_2,cluster
13,85,375.44,290.2,post_1,cluster
13,85,430.3,280.28,post_2,cluster
13,95,351.9,255.49,post_1,cluster
13,95,397.4,255.12,post_2,cluster
23,45,276.96,158.12,pre_1,cluster
23,45,274.09,144.24,pre_2,cluster
23,55,265.48,156.19,pre_1,cluster
23,55,243.04,163.25,pre_2,cluster
23,65,253.34,152.42,pre_1,cluster
23,65,220.63,157.67,pre_2,cluster
23,75,223.41,135,pre_1,cluster
23,75,210.17,139.27,pre_2,cluster
23,85,215.08,141.93,pre_1,cluster
23,85,221.24,139.86,pre_2,cluster
23,95,180.54,82.26,pre_1,cluster
23,95,212.18,84,pre_2,cluster
23,45,315.64,190.75,mid_1,cluster
23,45,309.73,186.9,mid_2,cluster
23,55,303.35,194.9,mid_1,cluster
23,55,276.54,188.62,mid_2,cluster
23,65,264.92,188.64,mid_1,cluster
23,65,278.99,192.36,mid_2,cluster
23,75,242.9,169.95,mid_1,cluster
23,75,242.31,163.03,mid_2,cluster
23,85,192.12,132.9,mid_1,cluster
23,85,175.51,131.41,mid_2,cluster
23,95,159.45,93.57,mid_1,cluster
23,95,171.23,104.92,mid_2,cluster
23,45,345.96,193.29,post_1,cluster
23,45,344.46,178.35,post_2,cluster
23,55,336.46,180.83,post_1,cluster
23,55,288.19,181.09,post_2,cluster
23,65,284.18,167.64,post_1,cluster
23,65,228.6,181.61,post_2,cluster
23,75,282.05,180.35,post_1,cluster
23,75,252.29,174.14,post_2,cluster
23,85,256.14,171.58,post_1,cluster
23,85,237.27,110.8,post_2,cluster
23,95,172.89,134.99,post_1,cluster
23,95,176.22,175.54,post_2,cluster
22,45,302.15,200.53,pre_1,traditional
22,45,384.34,239.57,pre_2,traditional
22,55,350.26,249.56,pre_1,traditional
22,55,395.19,261.36,pre_2,traditional
22,65,336.86,240.71,pre_1,traditional
22,65,311.64,227.23,pre_2,traditional
22,75,289.61,189.66,pre_1,traditional
22,75,300.66,213.02,pre_2,traditional
22,85,213.29,167.3,pre_1,traditional
22,85,214.97,141.81,pre_2,traditional
22,95,190.78,116.66,pre_1,traditional
22,95,147.91,117.1,pre_2,traditional
22,45,405.79,204.6,mid_1,traditional
22,45,409.73,227.49,mid_2,traditional
22,55,377.21,209.22,mid_1,traditional
22,55,393.56,223.36,mid_2,traditional
22,65,363.1,240.87,mid_1,traditional
22,65,347.14,244.11,mid_2,traditional
22,75,303.8,203.7,mid_1,traditional
22,75,290.78,215.14,mid_2,traditional
22,85,228.47,160.52,mid_1,traditional
22,85,223.2,137.54,mid_2,traditional
22,95,178.58,118.97,mid_1,traditional
22,95,303.43,134.17,mid_2,traditional
22,45,406.7,232.28,post_1,traditional
22,45,383.79,231.88,post_2,traditional
22,55,370,228.59,post_1,traditional
22,55,297.64,210.51,post_2,traditional
22,65,356.93,235.11,post_1,traditional
22,65,282.48,224.26,post_2,traditional
22,75,267.86,190.98,post_1,traditional
22,75,260.39,192.99,post_2,traditional
22,85,272.12,171.36,post_1,traditional
22,85,235.79,174.88,post_2,traditional
22,95,222.7,121.54,post_1,traditional
22,95,158.07,90.74,post_2,traditional
14,45,285.65,167.13,pre_1,traditional
14,45,260.47,138.93,pre_2,traditional
14,55,299.58,193.57,pre_1,traditional
14,55,286.83,171.44,pre_2,traditional
14,65,280.23,185.39,pre_1,traditional
14,65,286.42,200.18,pre_2,traditional
14,75,276.12,179.47,pre_1,traditional
14,75,288.56,183.18,pre_2,traditional
14,85,270.7,176.31,pre_1,traditional
14,85,207.76,155.56,pre_2,traditional
14,95,222.33,104,pre_1,traditional
14,95,,,pre_2,traditional
14,45,352.32,188.38,mid_1,traditional
14,45,278.06,177.08,mid_2,traditional
14,55,340.36,212.89,mid_1,traditional
14,55,391,203.49,mid_2,traditional
14,65,290.14,210.78,mid_1,traditional
14,65,320.34,171.64,mid_2,traditional
14,75,300.85,188.75,mid_1,traditional
14,75,325.05,196.9,mid_2,traditional
14,85,257.15,149.46,mid_1,traditional
14,85,213.62,169.68,mid_2,traditional
14,95,208.53,107.52,mid_1,traditional
14,95,,,mid_2,traditional
14,45,370.02,227.28,post_1,traditional
14,45,345.33,209.06,post_2,traditional
14,55,357.16,227,post_1,traditional
14,55,348.85,221.16,post_2,traditional
14,65,334.01,233.47,post_1,traditional
14,65,343.75,214.7,post_2,traditional
14,75,226.21,156.14,post_1,traditional
14,75,286.37,212.52,post_2,traditional
14,85,205.54,148.93,post_1,traditional
14,85,245.93,159.09,post_2,traditional
14,95,233.38,98.53,post_1,traditional
14,95,220.81,91.05,post_2,traditional
25,45,166.49,102.53,pre_1,cluster
25,45,169.34,105.5,pre_2,cluster
25,55,165.56,114.94,pre_1,cluster
25,55,181.43,112.38,pre_2,cluster
25,65,178.3,116.45,pre_1,cluster
25,65,163.62,118.43,pre_2,cluster
25,75,162.9,108.84,pre_1,cluster
25,75,157.83,113.73,pre_2,cluster
25,85,144.96,103.05,pre_1,cluster
25,85,127.83,92.7,pre_2,cluster
25,95,123.65,63.36,pre_1,cluster
25,95,145.63,76.56,pre_2,cluster
25,45,173.16,99.75,mid_1,cluster
25,45,220.72,113.89,mid_2,cluster
25,55,218.04,122.34,mid_1,cluster
25,55,243.71,124.68,mid_2,cluster
25,65,213.18,129.5,mid_1,cluster
25,65,181.63,122.35,mid_2,cluster
25,75,224.62,128.02,mid_1,cluster
25,75,228.37,121.88,mid_2,cluster
25,85,207.26,122.96,mid_1,cluster
25,85,203.76,121.73,mid_2,cluster
25,95,164.94,94.54,mid_1,cluster
25,95,198.14,99.17,mid_2,cluster
25,45,243.48,128.48,post_1,cluster
25,45,212.82,125.53,post_2,cluster
25,55,253.53,142.94,post_1,cluster
25,55,230.43,135.4,post_2,cluster
25,65,232.36,144.02,post_1,cluster
25,65,234.43,139.07,post_2,cluster
25,75,219.11,135.66,post_1,cluster
25,75,215.01,136.62,post_2,cluster
25,85,202.53,119.05,post_1,cluster
25,85,185.28,109.85,post_2,cluster
25,95,149.88,94.33,post_1,cluster
25,95,157.28,87.85,post_2,cluster
27,45,558.89,309.31,pre_1,traditional
27,45,621.47,322.19,pre_2,traditional
27,55,642.2,378.11,pre_1,traditional
27,55,670.39,370.92,pre_2,traditional
27,65,630.09,389.73,pre_1,traditional
27,65,466.7,301.96,pre_2,traditional
27,75,539.07,348.97,pre_1,traditional
27,75,556.21,353.09,pre_2,traditional
27,85,300.11,228.44,pre_1,traditional
27,85,459.1,280.69,pre_2,traditional
27,95,325.93,205.4,pre_1,traditional
27,95,295.49,183.27,pre_2,traditional
27,45,613.86,318.02,mid_1,traditional
27,45,557.33,308.14,mid_2,traditional
27,55,611.66,364.98,mid_1,traditional
27,55,619.25,365.82,mid_2,traditional
27,65,543.41,341.81,mid_1,traditional
27,65,562.24,361.05,mid_2,traditional
27,75,568.21,362.48,mid_1,traditional
27,75,516.91,361.76,mid_2,traditional
27,85,382.41,303.3,mid_1,traditional
27,85,505.13,322.61,mid_2,traditional
27,95,358.02,207.55,mid_1,traditional
27,95,272.47,195.51,mid_2,traditional
27,45,630.35,373.16,post_1,traditional
27,45,738.43,386.87,post_2,traditional
27,55,687.59,397.96,post_1,traditional
27,55,652.32,387.37,post_2,traditional
27,65,588.12,387.21,post_1,traditional
27,65,578.21,383.03,post_2,traditional
27,75,477.89,349.34,post_1,traditional
27,75,514.31,357.9,post_2,traditional
27,85,392.54,271.99,post_1,traditional
27,85,379.74,249.15,post_2,traditional
27,95,278.26,112.73,post_1,traditional
27,95,335.48,134.75,post_2,traditional
26,45,497.52,307.26,pre_1,cluster
26,45,581.63,319.3,pre_2,cluster
26,55,590.53,375.6,pre_1,cluster
